City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Teluknaga,ID,82.18,haze,-6.0989,106.6381,Kost Mewah (Mepet Sawah)
12,Atuona,PF,78.33,light rain,-9.8,-139.0333,Villa Enata
13,Bataipora,BR,75.52,scattered clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
15,Pochutla,MX,85.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
16,Harper,LR,83.37,overcast clouds,4.375,-7.7169,Screensaver
18,Butaritari,KI,80.44,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
27,Nadapuram,IN,81.41,broken clouds,11.7,75.6667,Fabina Garden
28,Rikitea,PF,77.61,light rain,-23.1203,-134.9692,People ThankYou
32,Itarema,BR,85.82,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
35,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
36,Namibe,AO,76.3,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
38,Guhagar,IN,81.81,overcast clouds,17.4842,73.1929,Hotel Seawinds
39,Bandarbeyla,SO,83.52,broken clouds,9.4942,50.8122,JABIR HOTEL
41,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
50,Hambantota,LK,82.74,scattered clouds,6.1241,81.1185,Bungalow 63
52,Cravo Norte,CO,85.77,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
54,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
56,Dickinson,US,75.16,mist,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
61,Cestas,FR,82.02,clear sky,44.7435,-0.6791,Kyriad Direct Cestas
67,Yulara,AU,80.44,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
68,Komsomolskiy,UZ,75.92,clear sky,40.4272,71.7189,Ikathouse
69,Puerto Quijarro,BO,84.72,clear sky,-17.7833,-57.7667,Hotel palance
82,Mahebourg,MU,76.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
83,Grand-Bourg,GP,85.95,clear sky,15.8835,-61.3148,Coco Beach Resort
86,Boende,CD,76.41,light rain,-0.2167,20.8667,
87,Abu Dhabi,AE,84.96,broken clouds,24.4667,54.3667,Beach Rotana
92,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
99,Hithadhoo,MV,84.02,clear sky,-0.6,73.0833,Scoop Guest House
101,Souillac,MU,76.53,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
102,Sechura,PE,75.09,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
104,Arraial Do Cabo,BR,76.86,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
114,San Andres,CO,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
117,Touros,BR,87.98,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
119,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
120,Dingle,PH,76.57,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
123,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
125,Sibolga,ID,79.02,heavy intensity rain,1.7427,98.7792,Hotel Syariah CN Darussalam
128,Bengkulu,ID,78.42,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
135,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
136,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
138,Xai-Xai,MZ,80.24,light rain,-25.0519,33.6442,Complexo da Familia
139,Altagracia De Orituco,VE,88.09,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
143,Port Blair,IN,82.87,clear sky,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
146,Amapa,BR,78.66,overcast clouds,1.0,-52.0,
147,Khash,IR,83.73,broken clouds,28.2211,61.2158,خوابگاه آبجی محدثه
148,Tucuma,BR,81.48,overcast clouds,-0.1833,-50.05,
153,Labuhan,ID,80.78,broken clouds,-6.8844,112.2051,DoubleFAG
157,Cascais,PT,77.97,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
161,Xuddur,SO,89.15,overcast clouds,4.1213,43.8894,Banjanay Hotel
163,Kalmunai,LK,81.64,few clouds,7.4167,81.8167,VS Villa
165,Porbandar,IN,81.68,clear sky,21.6422,69.6093,Lords Inn Porbandar
172,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
180,Domoni,KM,81.88,broken clouds,-12.2569,44.5319,Al Djadid
182,Careiro Da Varzea,BR,84.81,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
183,Tomatlan,MX,78.94,overcast clouds,19.9333,-105.25,El Salvial
184,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
185,Buala,SB,76.96,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
186,Saint-Pierre,RE,78.48,broken clouds,-21.3393,55.4781,Lindsey Hôtel
188,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
189,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
191,Coahuayana,MX,80.87,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
195,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
198,Honiara,SB,77.04,overcast clouds,-9.4333,159.95,Heritage Park Hotel
199,Isangel,VU,79.3,broken clouds,-19.55,169.2667,Tanna Lodge
202,Cognac,FR,75.04,clear sky,45.5,-0.25,Domaine de Pladuc
205,Mumford,GH,84.52,broken clouds,5.2618,-0.759,Spanish Villa
206,Grand-Santi,GF,79.99,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
210,Padang,ID,80.65,moderate rain,-0.9492,100.3543,Mercure Padang
212,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
