City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Albany,42.6001,-73.9662,60.17,25,1,5.01,US,clear sky
1,Los Llanos De Aridane,28.6585,-17.9182,67.12,78,0,16.11,ES,clear sky
2,Sao Filipe,14.8961,-24.4956,71.91,75,1,9.44,CV,clear sky
3,Upernavik,72.7868,-56.1549,-8.18,93,31,12.73,GL,scattered clouds
4,Hofn,64.2539,-15.2082,45.61,95,87,10.36,IS,overcast clouds
5,Roma,43.2128,-75.4557,59.72,31,40,14.97,US,scattered clouds
6,Teluknaga,-6.0989,106.6381,82.18,83,40,4.61,ID,haze
7,Ushuaia,-54.8,-68.3,44.22,93,40,0.0,AR,scattered clouds
8,Busselton,-33.65,115.3333,58.96,91,0,8.05,AU,clear sky
9,Torbay,47.6666,-52.7314,43.88,66,65,5.99,CA,broken clouds
10,Luderitz,-26.6481,15.1594,66.94,55,0,33.51,NA,clear sky
11,Hermanus,-34.4187,19.2345,61.97,52,3,18.52,ZA,clear sky
12,Atuona,-9.8,-139.0333,78.33,78,26,14.61,PF,light rain
13,Bataipora,-22.2953,-53.2711,75.52,64,41,5.26,BR,scattered clouds
14,Kysyl-Syr,63.8986,122.7617,18.68,91,96,8.72,RU,overcast clouds
15,Pochutla,15.7432,-96.4661,85.82,50,16,4.76,MX,few clouds
16,Harper,4.375,-7.7169,83.37,70,98,8.81,LR,overcast clouds
17,Tasiilaq,65.6145,-37.6368,33.93,99,100,10.96,GL,snow
18,Butaritari,3.0707,172.7902,80.44,74,100,3.65,KI,overcast clouds
19,Akureyri,65.6835,-18.0878,48.0,80,86,18.68,IS,overcast clouds
20,Henties Bay,-22.116,14.2845,62.24,77,3,13.49,NA,clear sky
21,Bredasdorp,-34.5322,20.0403,60.64,47,35,13.47,ZA,scattered clouds
22,Brae,60.3964,-1.353,49.66,78,91,17.29,GB,overcast clouds
23,New Norfolk,-42.7826,147.0587,54.9,72,55,1.97,AU,broken clouds
24,Shelburne,44.0787,-80.2041,49.77,41,74,22.62,CA,broken clouds
25,Yellowknife,62.456,-114.3525,12.42,78,99,10.0,CA,overcast clouds
26,Naze,28.3667,129.4833,64.56,75,99,21.03,JP,overcast clouds
27,Nadapuram,11.7,75.6667,81.41,84,59,2.37,IN,broken clouds
28,Rikitea,-23.1203,-134.9692,77.61,69,0,14.79,PF,light rain
29,Bluff,-46.6,168.3333,59.81,66,100,22.59,NZ,overcast clouds
30,Mataura,-46.1927,168.8643,59.49,63,100,11.34,NZ,overcast clouds
31,Longyearbyen,78.2186,15.6401,30.04,69,100,4.61,SJ,overcast clouds
32,Itarema,-2.9248,-39.9167,85.82,67,80,6.98,BR,broken clouds
33,Cherskiy,68.75,161.3,6.57,99,95,4.05,RU,overcast clouds
34,Airai,-8.9266,125.4092,62.28,94,100,2.44,TL,moderate rain
35,Puerto Ayora,-0.7393,-90.3518,80.56,81,48,10.47,EC,scattered clouds
36,Namibe,-15.1961,12.1522,76.3,67,67,11.01,AO,broken clouds
37,Tuktoyaktuk,69.4541,-133.0374,-13.97,100,99,1.66,CA,overcast clouds
38,Guhagar,17.4842,73.1929,81.81,70,95,3.94,IN,overcast clouds
39,Bandarbeyla,9.4942,50.8122,83.52,79,70,13.02,SO,broken clouds
40,Sturgeon Falls,46.3646,-79.9326,40.89,56,90,13.47,CA,overcast clouds
41,Saint-Philippe,-21.3585,55.7679,78.39,83,57,15.61,RE,light rain
42,Lixourion,38.2019,20.4314,66.67,49,70,3.49,GR,broken clouds
43,Kapaa,22.0752,-159.319,71.92,81,20,13.8,US,few clouds
44,Teya,60.3778,92.6267,34.79,99,100,3.53,RU,overcast clouds
45,Rorvik,64.8621,11.2373,41.32,67,62,6.06,NO,broken clouds
46,Ponta Do Sol,32.6667,-17.1,74.71,71,33,5.68,PT,scattered clouds
47,Mar Del Plata,-38.0023,-57.5575,62.62,77,0,14.0,AR,clear sky
48,Vardo,70.3705,31.1107,34.68,76,63,8.43,NO,broken clouds
49,Leh,34.1667,77.5833,41.74,39,69,5.23,IN,broken clouds
50,Hambantota,6.1241,81.1185,82.74,94,40,4.61,LK,scattered clouds
51,Westport,41.1415,-73.3579,65.28,29,28,8.99,US,scattered clouds
52,Cravo Norte,6.3017,-70.2041,85.77,57,100,3.87,CO,overcast clouds
53,Serravalle,43.969,12.4817,67.17,58,0,7.0,SM,clear sky
54,Salalah,17.0151,54.0924,82.49,78,0,8.05,OM,clear sky
55,Jamestown,42.097,-79.2353,58.59,30,20,21.99,US,few clouds
56,Dickinson,29.4608,-95.0513,75.16,94,100,12.66,US,mist
57,Ribeira Grande,38.5167,-28.7,63.0,77,75,17.27,PT,broken clouds
58,Yashalta,46.3395,42.2762,54.03,77,92,9.75,RU,overcast clouds
59,Hobart,-42.8794,147.3294,55.26,70,100,8.05,AU,overcast clouds
60,Vostok,46.4856,135.8833,24.42,79,8,5.44,RU,clear sky
61,Cestas,44.7435,-0.6791,82.02,38,0,4.61,FR,clear sky
62,Chenghai,23.4632,116.768,67.95,71,32,20.38,CN,scattered clouds
63,Norman Wells,65.282,-126.8329,2.48,94,98,5.46,CA,overcast clouds
64,Hilo,19.7297,-155.09,73.27,89,75,5.75,US,broken clouds
65,Bethel,41.3712,-73.414,63.01,29,0,8.05,US,clear sky
66,Lebu,-37.6167,-73.65,57.9,70,69,7.14,CL,broken clouds
67,Yulara,-25.2406,130.9889,80.44,32,75,8.05,AU,broken clouds
68,Komsomolskiy,40.4272,71.7189,75.92,27,0,4.61,UZ,clear sky
69,Puerto Quijarro,-17.7833,-57.7667,84.72,39,0,5.14,BO,clear sky
70,Roald,62.5833,6.1333,54.52,81,20,12.66,NO,few clouds
71,Laguna,38.421,-121.4238,54.32,80,0,9.22,US,clear sky
72,East London,-33.0153,27.9116,63.28,82,100,19.26,ZA,light rain
73,Saskylakh,71.9167,114.0833,-17.7,100,32,3.58,RU,scattered clouds
74,Castro,-24.7911,-50.0119,64.2,48,0,4.23,BR,clear sky
75,Spitak,40.8322,44.2673,49.64,66,87,3.87,AM,overcast clouds
76,Necochea,-38.5473,-58.7368,63.34,50,0,12.8,AR,clear sky
77,Cidreira,-30.1811,-50.2056,63.0,74,100,7.99,BR,overcast clouds
78,Kitgum,3.2783,32.8867,65.8,95,100,5.41,UG,moderate rain
79,Victoria,22.2855,114.1577,74.32,77,28,17.0,HK,scattered clouds
80,Qaanaaq,77.484,-69.3632,-1.53,94,100,2.3,GL,overcast clouds
81,Sedam,17.1773,77.2824,92.88,28,100,13.18,IN,overcast clouds
82,Mahebourg,-20.4081,57.7,76.24,79,19,18.99,MU,light rain
