City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Lincoln,AU,2022-04-06 01:37:15,-34.7333,135.8667,65.3,66,36,16.82
1,Ushuaia,AR,2022-04-06 01:34:39,-54.8,-68.3,37.06,87,40,27.63
2,Goundam,ML,2022-04-06 01:39:36,16.4145,-3.6708,85.86,10,30,9.69
3,Bredasdorp,ZA,2022-04-06 01:39:37,-34.5322,20.0403,58.03,75,14,14.0
4,Dakar,SN,2022-04-06 01:39:37,14.6937,-17.4441,65.28,84,0,18.7
5,Nikolskoye,RU,2022-04-06 01:39:37,59.7035,30.7861,26.8,78,100,11.1
6,Tailai,CN,2022-04-06 01:39:38,46.3833,123.4,36.88,15,2,15.86
7,Butaritari,KI,2022-04-06 01:39:38,3.0707,172.7902,81.57,80,100,17.13
8,Ushtobe,KZ,2022-04-06 01:39:38,45.2514,77.9838,64.58,33,8,5.12
9,Yellowknife,CA,2022-04-06 01:39:39,62.456,-114.3525,29.28,64,75,9.22
10,Torbay,CA,2022-04-06 01:35:28,47.6666,-52.7314,34.57,86,75,23.02
11,Vao,NC,2022-04-06 01:39:39,-22.6667,167.4833,76.06,87,100,18.05
12,Rudbar,AF,2022-04-06 01:39:39,30.15,62.6,75.09,12,0,7.23
13,Puerto Ayora,EC,2022-04-06 01:39:40,-0.7393,-90.3518,77.83,87,23,6.4
14,Narsaq,GL,2022-04-06 01:39:40,60.9167,-46.05,32.22,83,24,0.76
15,San Cristobal,VE,2022-04-06 01:39:40,7.7669,-72.225,73.58,97,70,3.36
16,Oga,IT,2022-04-06 01:39:41,46.4631,10.347,38.08,89,27,1.21
17,Wanning,CN,2022-04-06 01:39:41,18.8003,110.3967,75.58,69,90,8.86
18,Ribeira Grande,PT,2022-04-06 01:39:41,38.5167,-28.7,60.58,88,65,14.72
19,Khatanga,RU,2022-04-06 01:39:41,71.9667,102.5,2.84,87,13,12.33
20,Lagoa,PT,2022-04-06 01:39:42,39.05,-27.9833,59.68,86,67,15.35
21,Bethel,US,2022-04-06 01:39:39,41.3712,-73.414,49.08,67,100,4.68
22,Rikitea,PF,2022-04-06 01:39:42,-23.1203,-134.9692,79.0,67,78,17.25
23,Grand-Santi,GF,2022-04-06 01:39:42,4.25,-54.3833,73.13,99,100,2.21
24,Tura,IN,2022-04-06 01:39:43,25.5198,90.2201,76.05,75,20,6.24
25,Hermanus,ZA,2022-04-06 01:39:43,-34.4187,19.2345,59.81,76,81,16.58
26,Saint-Pierre,RE,2022-04-06 01:39:43,-21.3393,55.4781,75.29,87,100,4.61
27,Sangar,RU,2022-04-06 01:39:44,63.9242,127.4739,5.27,91,100,5.64
28,Sabzevar,IR,2022-04-06 01:39:44,36.2126,57.6819,67.35,29,100,4.14
29,Ahuimanu,US,2022-04-06 01:39:45,21.4447,-157.8378,82.11,65,40,13.8
30,Nivala,FI,2022-04-06 01:39:45,63.9167,24.9667,29.68,96,100,4.68
31,The Valley,AI,2022-04-06 01:39:45,18.217,-63.0578,78.82,75,18,18.43
32,Aklavik,CA,2022-04-06 01:39:46,68.2191,-135.0107,5.79,85,100,7.76
33,Matadi,CD,2022-04-06 01:39:46,-5.8167,13.45,76.14,93,100,1.07
34,Marquard,ZA,2022-04-06 01:39:46,-28.6645,27.4305,52.39,50,10,4.54
35,New Norfolk,AU,2022-04-06 01:39:46,-42.7826,147.0587,60.66,34,0,2.66
36,Qeshm,IR,2022-04-06 01:39:47,26.9581,56.2719,71.47,76,0,3.87
37,Constitucion,CL,2022-04-06 01:39:47,-35.3333,-72.4167,55.69,84,10,10.36
38,Coremas,BR,2022-04-06 01:39:47,-7.0144,-37.9458,75.2,60,100,3.85
39,Bluff,NZ,2022-04-06 01:39:48,-46.6,168.3333,52.68,70,74,32.39
40,Cidreira,BR,2022-04-06 01:39:48,-30.1811,-50.2056,67.06,76,52,6.02
41,Chokurdakh,RU,2022-04-06 01:39:48,70.6333,147.9167,-3.75,90,15,6.02
42,Mbaiki,CF,2022-04-06 01:39:49,3.8678,17.9892,69.66,99,100,0.98
43,Payson,US,2022-04-06 01:39:49,40.0444,-111.7321,41.38,46,82,7.0
44,Mataura,NZ,2022-04-06 01:39:49,-46.1927,168.8643,48.51,84,100,13.13
45,Tevaitoa,PF,2022-04-06 01:39:50,-16.7833,-151.5,82.78,77,14,19.84
46,Talnakh,RU,2022-04-06 01:39:50,69.4865,88.3972,13.24,80,100,8.55
47,Punta Arenas,CL,2022-04-06 01:38:58,-53.15,-70.9167,35.71,75,0,4.61
48,Carnarvon,AU,2022-04-06 01:40:50,-24.8667,113.6333,82.47,54,2,10.36
49,Santa Fe,AR,2022-04-06 01:35:51,-31.6333,-60.7,69.03,80,0,1.99
50,Fredericton,CA,2022-04-06 01:37:06,45.9454,-66.6656,31.24,62,0,3.44
51,San Fernando,PH,2022-04-06 01:40:51,15.0286,120.6898,90.81,48,94,9.17
52,Boa Vista,BR,2022-04-06 01:40:51,2.8197,-60.6733,80.58,78,40,5.75
53,Sao Filipe,CV,2022-04-06 01:40:51,14.8961,-24.4956,71.1,72,6,7.96
54,Pevek,RU,2022-04-06 01:40:52,69.7008,170.3133,-3.19,90,100,7.07
55,Kangshan,CN,2022-04-06 01:40:52,28.8812,116.4311,66.09,58,99,3.58
56,Guerrero Negro,MX,2022-04-06 01:40:52,27.9769,-114.0611,61.54,85,1,13.8
57,Omboue,GA,2022-04-06 01:40:53,-1.5746,9.2618,76.44,92,100,5.03
58,Sitka,US,2022-04-06 01:37:26,57.0531,-135.33,44.49,65,75,12.66
59,Port Elizabeth,ZA,2022-04-06 01:40:53,-33.918,25.5701,63.1,74,0,18.41
60,Bambous Virieux,MU,2022-04-06 01:40:53,-20.3428,57.7575,77.25,88,40,8.05
61,Kavieng,PG,2022-04-06 01:40:54,-2.5744,150.7967,81.36,75,100,14.54
62,Airai,TL,2022-04-06 01:40:54,-8.9266,125.4092,74.12,54,42,2.46
63,Arraial Do Cabo,BR,2022-04-06 01:40:54,-22.9661,-42.0278,76.48,89,5,11.01
64,Kavaratti,IN,2022-04-06 01:40:55,10.5669,72.642,83.19,73,42,5.48
65,Leningradskiy,RU,2022-04-06 01:40:55,69.3833,178.4167,-3.19,93,91,24.14
